epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1379,3.10312,3.09217,1.79076,0.54998,0.57022,0.53234,0.18874,2.17026,2.49767,1.20467,0.00014,0.00014,0.00014
2,30.3934,2.18271,1.48831,1.23336,0.68422,0.53933,0.55642,0.19329,2.3315,2.24628,1.29025,0.00029505,0.00029505,0.00029505
3,49.1104,2.00507,1.17295,1.18447,0.68814,0.60674,0.62053,0.22404,2.20547,2.29957,1.21281,0.00044482,0.00044482,0.00044482
4,68.6874,1.97734,1.03242,1.17915,0.73009,0.6264,0.6854,0.26765,2.01725,1.6362,1.153,0.00058931,0.00058931,0.00058931
5,85.1718,1.90386,1.0375,1.17665,0.7238,0.70667,0.7257,0.27935,2.06262,1.61262,1.2095,0.00072852,0.00072852,0.00072852
6,105.337,1.92418,1.08326,1.15466,0.68757,0.40182,0.40777,0.15371,2.13146,1.95559,1.21267,0.00086245,0.00086245,0.00086245
7,125.819,1.87404,1.04059,1.13799,0.69255,0.3736,0.3802,0.13469,2.08939,1.66816,1.18837,0.0009911,0.0009911,0.0009911
8,145.63,1.89222,0.98668,1.15795,0.69362,0.49719,0.52668,0.18723,2.17239,1.75589,1.24265,0.00111447,0.00111447,0.00111447
9,166.73,1.83731,0.9578,1.13093,0.63113,0.38764,0.38971,0.13262,2.21305,1.376,1.26634,0.00123256,0.00123256,0.00123256
10,187.345,1.83647,0.94379,1.15652,0.36063,0.42135,0.26373,0.08492,2.25035,1.93701,1.28566,0.00134537,0.00134537,0.00134537
11,208.262,1.88232,0.88676,1.14093,0.34567,0.35112,0.19816,0.06203,2.44363,2.15067,1.34645,0.0014529,0.0014529,0.0014529
12,233.957,1.78459,0.88478,1.11823,0.77014,0.42135,0.44682,0.16326,2.07621,1.2352,1.18136,0.00155515,0.00155515,0.00155515
13,257.271,1.79922,0.85078,1.1199,0.68445,0.46629,0.47332,0.17166,2.12501,1.27308,1.20623,0.001604,0.001604,0.001604
14,296.686,1.78647,0.84171,1.11225,0.52131,0.25562,0.22562,0.08623,2.13183,1.18588,1.20499,0.001571,0.001571,0.001571
15,342.728,1.77964,0.81637,1.08906,0.52336,0.22753,0.21562,0.0922,2.14825,1.0928,1.20436,0.001538,0.001538,0.001538
16,384.841,1.75434,0.8015,1.11294,0.57634,0.19382,0.18801,0.06745,2.37076,1.19636,1.3099,0.001505,0.001505,0.001505
17,428.924,1.78914,0.83265,1.1264,0.68807,0.32303,0.3416,0.13541,2.03051,1.1145,1.18587,0.001472,0.001472,0.001472
18,471.166,1.72754,0.83969,1.09521,0.71765,0.31461,0.32873,0.11699,2.13303,1.07079,1.21241,0.001439,0.001439,0.001439
19,511.767,1.69258,0.81051,1.07153,0.67818,0.34831,0.34151,0.12412,2.06322,1.09438,1.20387,0.001406,0.001406,0.001406
20,559.679,1.67973,0.78235,1.07895,0.69417,0.50281,0.51836,0.20629,2.04268,1.05189,1.19109,0.001373,0.001373,0.001373
21,612.96,1.64826,0.76692,1.07566,0.71499,0.44395,0.458,0.18115,2.02964,1.14328,1.16313,0.00134,0.00134,0.00134
22,664.278,1.65163,0.79273,1.06995,0.73521,0.34831,0.36609,0.14272,2.05878,1.09463,1.1667,0.001307,0.001307,0.001307
23,710.99,1.63183,0.74118,1.07417,0.76426,0.45534,0.46118,0.19495,1.97771,0.99012,1.13608,0.001274,0.001274,0.001274
24,764.164,1.64216,0.7425,1.05964,0.82138,0.5296,0.56992,0.23249,1.99914,1.04682,1.15677,0.001241,0.001241,0.001241
25,813.099,1.61956,0.71873,1.04973,0.81695,0.61431,0.64645,0.27416,1.98913,0.96413,1.15514,0.001208,0.001208,0.001208
26,853.793,1.58662,0.70245,1.04929,0.71545,0.27247,0.29748,0.13604,1.88745,0.97936,1.11704,0.001175,0.001175,0.001175
27,915.315,1.54681,0.68567,1.0282,0.79991,0.6264,0.651,0.29007,1.94122,1.0025,1.12897,0.001142,0.001142,0.001142
28,969.54,1.57834,0.69525,1.03637,0.75308,0.43258,0.46894,0.19706,2.01993,0.9665,1.14988,0.001109,0.001109,0.001109
29,1028.51,1.54578,0.6855,1.03658,0.80053,0.37921,0.41512,0.17115,1.97234,0.9351,1.13333,0.001076,0.001076,0.001076
30,1092.62,1.51952,0.67896,1.02496,0.81738,0.30056,0.3189,0.13409,1.94928,0.92646,1.12967,0.001043,0.001043,0.001043
31,1143.76,1.59448,0.68396,1.03524,0.71272,0.37079,0.38033,0.15651,2.08785,1.01273,1.18862,0.00101,0.00101,0.00101
32,1209.46,1.55064,0.68676,1.03327,0.76726,0.5834,0.62811,0.28331,1.97772,0.92835,1.14091,0.000977,0.000977,0.000977
33,1257.53,1.46061,0.65025,1.01332,0.72424,0.33146,0.36295,0.15434,2.02747,0.96598,1.1579,0.000944,0.000944,0.000944
34,1315.64,1.49506,0.6615,1.00321,0.84434,0.79775,0.841,0.37037,1.98504,0.94834,1.14017,0.000911,0.000911,0.000911
35,1377.14,1.47492,0.65299,0.99416,0.83489,0.44944,0.48162,0.21239,1.96102,0.91989,1.13428,0.000878,0.000878,0.000878
36,1430.57,1.44493,0.6335,0.99709,0.85322,0.66292,0.71001,0.30505,2.0002,0.93603,1.14378,0.000845,0.000845,0.000845
37,1493.26,1.41341,0.62621,0.9969,0.83571,0.75281,0.82284,0.33264,2.0742,0.9772,1.17463,0.000812,0.000812,0.000812
38,1564.38,1.35144,0.61344,0.97735,0.86175,0.77042,0.8234,0.35353,2.0415,0.93523,1.17424,0.000779,0.000779,0.000779
39,1626.87,1.36598,0.6113,0.98053,0.85402,0.70664,0.74741,0.32736,2.0385,0.90018,1.17241,0.000746,0.000746,0.000746
40,1688.3,1.38177,0.60449,0.98437,0.89226,0.79213,0.84057,0.3592,2.05269,0.9114,1.17648,0.000713,0.000713,0.000713
41,1759.47,1.32876,0.59729,0.96848,0.87061,0.79382,0.84331,0.37072,2.03267,0.91921,1.17114,0.00068,0.00068,0.00068
42,1810.3,1.28181,0.57975,0.95986,0.90485,0.77464,0.85102,0.39002,1.95436,0.88555,1.14915,0.000647,0.000647,0.000647
43,1879.04,1.29638,0.59486,0.95633,0.86498,0.79213,0.84729,0.37832,1.99906,0.90774,1.14998,0.000614,0.000614,0.000614
44,1956.67,1.31057,0.59073,0.95084,0.85834,0.79996,0.85128,0.39722,1.94242,0.87856,1.13969,0.000581,0.000581,0.000581
45,2025.2,1.29824,0.58346,0.96898,0.85508,0.79213,0.84174,0.37794,2.00205,0.88534,1.1607,0.000548,0.000548,0.000548
46,2081.58,1.25603,0.57229,0.9454,0.87497,0.79213,0.84274,0.38247,1.96573,0.88181,1.15563,0.000515,0.000515,0.000515
