epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,2134.61,1.34797,0.59095,0.96162,0.86554,0.79562,0.84272,0.37863,1.98246,0.89982,1.16492,0.000482,0.000482,0.000482
48,2197.82,1.26498,0.55998,0.94877,0.84902,0.80559,0.8386,0.38695,1.96257,0.90634,1.15376,0.000449,0.000449,0.000449
49,2251.23,1.23839,0.56141,0.93458,0.90226,0.75281,0.83782,0.36946,2.00251,0.93317,1.16519,0.000416,0.000416,0.000416
50,2308.33,1.22592,0.55155,0.93859,0.86706,0.80609,0.85023,0.39225,1.93777,0.92933,1.14333,0.000383,0.000383,0.000383
51,2364.89,1.24398,0.57703,0.94867,0.85641,0.82094,0.85699,0.40114,1.92121,0.89977,1.14345,0.00035,0.00035,0.00035
52,2424.82,1.19697,0.53949,0.93544,0.86742,0.80337,0.8379,0.3871,1.95324,0.91551,1.16333,0.000317,0.000317,0.000317
53,2479.29,1.15787,0.52893,0.9332,0.88127,0.79227,0.8344,0.38378,1.9679,0.91529,1.16737,0.000284,0.000284,0.000284
54,2543.34,1.14089,0.52335,0.92469,0.87297,0.80056,0.84446,0.38858,1.9421,0.90121,1.15508,0.000251,0.000251,0.000251
55,2599.04,1.13959,0.52539,0.91551,0.89268,0.79494,0.84686,0.37678,1.9444,0.88533,1.15532,0.000218,0.000218,0.000218
56,2658.74,1.1367,0.51876,0.92027,0.88491,0.78933,0.84158,0.37532,1.95142,0.88284,1.15472,0.000185,0.000185,0.000185
57,2716.19,1.12508,0.516,0.90737,0.85461,0.79213,0.83561,0.37563,1.94712,0.88356,1.14969,0.000152,0.000152,0.000152
58,2781.35,1.09852,0.50315,0.9033,0.86199,0.79775,0.84012,0.37805,1.95358,0.89168,1.15388,0.000119,0.000119,0.000119
59,2844.88,1.09094,0.50746,0.89704,0.87225,0.80337,0.8411,0.3703,1.96631,0.89378,1.15785,8.6e-05,8.6e-05,8.6e-05
60,2918.61,1.03385,0.4855,0.89402,0.87843,0.80618,0.84448,0.37259,1.96702,0.89093,1.15654,5.3e-05,5.3e-05,5.3e-05
