epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7166,3.21464,3.72876,1.64713,0.01556,0.78652,0.02822,0.00808,2.53837,3.651,1.2008,0.00014,0.00014,0.00014
2,35.9829,2.50544,2.13105,1.23654,0.01438,0.71629,0.07744,0.02131,2.27436,3.29663,1.19296,0.00028515,0.00028515,0.00028515
3,47.3984,2.30226,1.58494,1.21236,0.01639,0.82865,0.09943,0.02597,2.13701,3.09701,1.1341,0.00041446,0.00041446,0.00041446
4,60.6154,2.19798,1.4397,1.21735,0.01772,0.89607,0.10184,0.03114,2.05885,2.90625,1.13527,0.00052793,0.00052793,0.00052793
5,73.302,2.13152,1.37868,1.1936,0.01589,0.80337,0.21839,0.07117,2.18978,2.93599,1.1841,0.00062556,0.00062556,0.00062556
6,87.0714,2.23702,1.3684,1.182,0.01706,0.86236,0.47981,0.15758,2.048,2.81002,1.13287,0.00070735,0.00070735,0.00070735
7,99.7696,2.1268,1.29229,1.18367,0.01629,0.82303,0.48412,0.15512,2.20487,2.73406,1.20146,0.0007733,0.0007733,0.0007733
8,113.488,2.13231,1.298,1.16107,0.04468,0.74719,0.5511,0.19362,2.08892,2.55884,1.16111,0.00082341,0.00082341,0.00082341
9,126.642,2.09421,1.20376,1.1564,0.85742,0.33989,0.68489,0.25645,1.9762,2.24366,1.10394,0.00085768,0.00085768,0.00085768
10,142.394,2.01921,1.25465,1.14572,0.84789,0.45407,0.69841,0.27599,2.00559,2.11886,1.12615,0.00087611,0.00087611,0.00087611
11,160.002,2.06851,1.40129,1.16948,0.85943,0.51524,0.70198,0.2501,2.06194,2.07366,1.14158,0.0008787,0.0008787,0.0008787
12,174.819,2.03444,1.32997,1.18139,0.83912,0.51281,0.70513,0.27973,1.97841,1.99718,1.13945,0.00086545,0.00086545,0.00086545
13,191.918,2.03009,1.25901,1.19089,0.81622,0.63625,0.74738,0.29135,2.03076,1.85497,1.14391,0.000812,0.000812,0.000812
14,206.158,2.00223,1.24085,1.13927,0.60284,0.63764,0.64391,0.22064,2.09823,1.75721,1.13472,0.000713,0.000713,0.000713
15,222.877,1.96541,1.23236,1.15309,0.75815,0.72753,0.76686,0.32286,1.98782,1.51265,1.11859,0.000614,0.000614,0.000614
16,238.514,1.97125,1.19766,1.13627,0.81091,0.73315,0.79132,0.33168,1.97568,1.50163,1.11692,0.000515,0.000515,0.000515
17,253.177,1.95474,1.16614,1.12086,0.80931,0.70506,0.78957,0.324,1.97509,1.45927,1.12228,0.000416,0.000416,0.000416
18,270.022,1.94057,1.14118,1.14477,0.78667,0.7458,0.81278,0.33832,1.98551,1.30357,1.12906,0.000317,0.000317,0.000317
19,285.914,1.92184,1.12986,1.14681,0.8056,0.74499,0.8226,0.34448,1.96727,1.269,1.1232,0.000218,0.000218,0.000218
20,303.161,1.8706,1.11909,1.13292,0.80439,0.75843,0.82674,0.34357,1.9629,1.24837,1.1215,0.000119,0.000119,0.000119
