epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3901.85,1.35675,0.60928,0.96336,0.85876,0.81167,0.85494,0.36813,2.00924,0.85418,1.12305,0.000614,0.000614,0.000614
44,3986.24,1.35871,0.61652,0.96806,0.87262,0.82051,0.85714,0.37174,2.01178,0.84545,1.11964,0.000581,0.000581,0.000581
45,4057.1,1.36816,0.61437,0.96774,0.88027,0.8126,0.85405,0.37395,2.0154,0.85622,1.12649,0.000548,0.000548,0.000548
46,4128.74,1.35219,0.60129,0.9766,0.88461,0.81342,0.8681,0.38535,1.98291,0.85814,1.11383,0.000515,0.000515,0.000515
47,4201.65,1.32318,0.59763,0.96953,0.86841,0.8214,0.85379,0.36683,2.02856,0.84992,1.12519,0.000482,0.000482,0.000482
48,4271.44,1.30686,0.59205,0.95699,0.87632,0.82066,0.86212,0.373,2.03389,0.85375,1.1297,0.000449,0.000449,0.000449
49,4339.67,1.29298,0.5872,0.95764,0.87324,0.83643,0.86381,0.3813,1.98153,0.8409,1.11213,0.000416,0.000416,0.000416
50,4406.74,1.26705,0.57513,0.94758,0.86673,0.81655,0.83469,0.34459,2.0883,0.87285,1.15114,0.000383,0.000383,0.000383
51,4488.56,1.33173,0.60135,0.95858,0.86858,0.80725,0.84755,0.3571,2.03841,0.87095,1.13472,0.00035,0.00035,0.00035
52,4567.75,1.29223,0.5847,0.9494,0.87195,0.80902,0.84816,0.361,2.02781,0.84939,1.13713,0.000317,0.000317,0.000317
53,4644.46,1.276,0.56862,0.95013,0.87451,0.80813,0.85296,0.36827,2.01042,0.84874,1.13542,0.000284,0.000284,0.000284
54,4737.22,1.23215,0.55511,0.94043,0.87228,0.80312,0.84122,0.36001,2.04188,0.87522,1.14463,0.000251,0.000251,0.000251
55,4815.24,1.21905,0.54301,0.93615,0.86518,0.8214,0.8484,0.36608,2.00456,0.86331,1.12707,0.000218,0.000218,0.000218
56,4895.63,1.21458,0.54412,0.93263,0.87189,0.82442,0.85416,0.36739,2.006,0.85343,1.13293,0.000185,0.000185,0.000185
57,4964.91,1.17218,0.53235,0.92778,0.88665,0.8214,0.85725,0.37482,1.97919,0.84278,1.12514,0.000152,0.000152,0.000152
58,5045.32,1.17473,0.52929,0.92251,0.88492,0.82317,0.86282,0.37599,1.97931,0.83924,1.12309,0.000119,0.000119,0.000119
59,5115.58,1.15249,0.52749,0.92142,0.86931,0.81874,0.85417,0.37118,1.99838,0.84166,1.1312,8.6e-05,8.6e-05,8.6e-05
60,5189.89,1.14981,0.52022,0.92452,0.87088,0.81703,0.84715,0.37132,2.00247,0.83857,1.13366,5.3e-05,5.3e-05,5.3e-05
